lng,lat,service_point_id,address,meter_id,service_connection_id
-0.6103736611447714,38.34393853000837,6172870,LA IGLESIA 2-COLEG,I20BC035384M,2466754
-0.5152249463174698,38.347688243116515,6050127,CEFEO 82-COLEG-PUB,I20BB052534Z,2434577
-0.5394693335004351,38.32111245355968,6172587,CN. VIEJO DE ORIHUELA 88 -BAJO,D15FE057591J,2464417
-0.5399493520841989,38.32035735956033,6172600,CN.VIEJO DE ELCHE 99-BAJO,I20BD041321T,2477801
-0.5069656362937119,38.34619173371141,6046403,DAVID NOGUERA 2-COLEG-PUB,I20BB052549G,2463976
-0.49168340069283967,38.38886475564612,6146493,LA CRETA SN-FUENT,I17FA405042V,2446574
-0.49158416850013353,38.360141890065385,6120493,AV.NOVELDA SN-RG-3,C17FA699470S,2475884
-0.565542278434586,38.39195326161729,6264775,ERMITA DE SAN JAIME SN-CAMPO-DEPOR,I18FA276441Q,2474323
-0.500788470659449,38.3438283245097,6037929,MEDICO PEDRO HERRERO 5-COLEG-PUB,I16FA054460X,2432968
-0.42008782088596164,38.37083165100779,6306462,AV.LAS NACIONES 9 - COLG-PUB,D13UF132971Y,2473252
-0.42350574148452425,38.359456628718924,6155819,TRIDENTE 10-B.RIE,D14IA077592H,2459484
-0.4858006575114827,38.34403743999472,6327901,SAN FRANCISCO 30-LOCAL,I13FA024608J,2475845
-0.5148100820739229,38.349517600045594,6051559,VIRGEN DEL VALLE 12-LOCAL,I20BA061359W,2466011
-0.4873193088167939,38.34143942364023,6018733,AV.DR GADEA SN -B.RIE,I17BD096745H,2431185
-0.4478760244026593,38.36339777611796,6149506,AV.ALBUFERETA 89-RIEGO,I18BA232348E,2447199
-0.4308786040702283,38.35782253763545,6154750,AV.COSTA BLANCA SN-JA,E15NB385945Q,2464332
-0.48840453044052284,38.34455473305235,6011498,PL.DE LA MONTAÑETA SN-JARDI,I18BA424386Z,2478848
-0.4427717858749435,38.3904809175436,6252595,BARRANQUET SN -FUENT,E14NC350120Y,2472266
-0.49853731354148323,38.34878667691374,6302723,PL.DE SAN BLAS SN-RIEGO,I19BD041936L,2477273
-0.49033247727492135,38.345586574113184,6017429,AV.FEDERICO SOTO SN -JARDI,D13TC040916F,2431110
-0.41892172366280656,38.36093423252019,6158296,PAGEL SN,I20BD055294C,2447653
-0.4791139771722678,38.35757340251978,6084396,SAN MATEO 23,C17FA699471T,2439084
-0.4932500799596997,38.343803813282335,6016146,SERRANO 5 E/IZ-LOCAL-2,D14IA077892Q,2431038
-0.4872636259423657,38.35503556734432,6110109,PASEO DE CAMPOAMOR 1-COLEG,I20BB052585K,2442391
-0.48989349093741225,38.3518429318817,6105526,RONDA DEL CASTILLO SN-JARDI,I17BD096743F,2477376
-0.49791779418019166,38.35391533306194,6065809,DR RICO 13-COLEG-PUB,I19BB030281Y,2436498
-0.4964930261451976,38.35412912280651,6065453,JUANITO SANTERO 3-COLEG-PUB,I20BD055299H,2436478
-0.4937054251360161,38.35680519971193,6066013,ROMEU ZARANDIETA SN-BAJO,D14IA077561A,2459498
-0.4933772692390423,38.35537260787527,6066017,ROMEU ZARANDIETA 2-PISCI,G19RH768636I,2436516
-0.48205144692544116,38.36970714406616,6129348,BENEJUZAR 6 .,C17FA699477Z,2445029
-0.482000739370479,38.369411831479184,6129318,BENEJUZAR 4 .,I20BA061429T,2445028
-0.4819329500005785,38.36905778292905,6129290,BENEJUZAR 2 .,I16FA106899N,2445027
-0.4674669244560916,38.36940583891033,6239342,AV.RAMOS CARRATALA SN-RIEGO-1,D16IA006448F,2470147
-0.44338245605439747,38.38913093927202,6296954,ALBEROLA CANTERAC SN-RIEGO-O2,D15TA079392C,2475939
-0.48656694813132884,38.35837435339945,6113049,RAFAEL ASIN 25-LOCAL-4,I18BA575838P,2442585
-0.4653439412230531,38.362741618195756,6080043,ALFONSO GARRIGOS SN-RIEGO-2,I19BD031191P,2485013
-0.4613153477910727,38.36204559974961,6079329,DE LA GRANJA SN-RIEGO,D15TD068886F,2446976
-0.46934685807065,38.35966774219075,6078338,MARIA AUXILIADORA 19-BAJO,I13FA024190E,2438197
-0.4914454141384513,38.35736521653263,6069257,CASTILLO SAN FERNANDO 11-BAJO,G16TB546482D,2436709
-0.49151761017317713,38.35773235596022,6258150,ESCULTOR BAÑULS SN-RIEGO,D14IA077590F,2473127
-0.4764864206374727,38.35780609064387,6085166,JIMENEZ REYES 20-LOCAL-DA,I14FA055424F,2439139
-0.4881387272188622,38.37825900434868,6145253,GASTON CASTELLO 60-CAMPO-FUTBO,I19BB041442G,2446095
-0.4849716587031683,38.377300048977304,6144977,BARONIA DE POLOP SN-GUARD,I20BC035377N,2446051
-0.4855305285143061,38.352380193909994,6236224,PL.DE ESPAÑA SN-RIEGO,I17BA457661R,2482265
-0.49681194144300045,38.37463729604071,6257473,GERMAN BERNACER SN-JARDI,I16BD085650J,2472960
-0.4881583891016442,38.37012586448547,6130620,ALMERIA SN-RIEGO-6,I18FA276453U,2459910
-0.49816026804152536,38.34953818769761,6060189,ANTONIO MARTIN TRENCO 8-LOCAL-DA,D14IA077933I,2435967
-0.4952560023264102,38.37007172391715,6235500,ROQUE CHABAS SN-RIEGO,I16FA071214J,2469115
-0.4998003430051909,38.36090051409069,6119239,IBI 16-BAJO,D13IA513426V,2443332
-0.4820775356782918,38.362459224978494,6096695,FCO GINER DE LOS RIOS 8-COLEG,I18FA276372U,2440238
-0.4432347522907743,38.389558943509016,6147185,PL.DE LUIS FOGLIETTI 1,D14IA077620U,2447059
-0.4994483765344573,38.34819608405059,6060366,ANTONIO MARTIN TRENCO 14 E/E-LOCAL-6,C11FA586257Q,2435972
-0.4844807321701611,38.37501070069606,6134058,AMATISTA SN-RIEGO,D13TB007732A,2445378
-0.4998666609065593,38.360435544039206,6119241,ALBATERA SN-FUENT,G16TC423564J,2485053
-0.49950978943226887,38.36220567313735,6296098,LA NUCIA 17-RIEGO,I16FA054647G,2475812
-0.5048313887963166,38.372158856584825,6120127,AGUAS VIVAS 1-BAJO,I16FA054478H,2464193
-0.47955011260283903,38.371240756407296,6142416,VICENTE M MORELLA 3 E/6-BAJO-C,D13IA513452X,2445839
-0.48235051719630645,38.37137734171555,6131608,DIPUTADO JOAQUIN FUSTER 5-JARDI,I16FA010861A,2445141
